,artist,number_concerts
184,The Avett Brothers,20
125,The Smiths,20
116,Paramore,20
117,100 gecs,20
118,Fall Out Boy,20
119,PVRIS,20
249,Alice Cooper,20
121,Måneskin,20
122,Nothing But Thieves,20
244,Elvis Costello,20
126,Arctic Monkeys,20
114,Depeche Mode,20
127,The Coral,20
128,Kings of Leon,20
130,Pulp,20
132,Franz Ferdinand,20
133,The Cure,20
134,The Black Keys,20
242,Tom Jones,20
136,Razorlight,20
115,Inhaler,20
113,All Time Low,20
138,Jet,20
257,Ozzy Osbourne,20
92,Bad Omens,20
186,Johnny Cash,20
94,Dayseeker,20
95,Sleep Token,20
260,Jackson Browne,20
97,Weathers,20
98,Royal & the Serpent,20
99,Tigercub,20
101,Story Of The Year,20
251,The Killers,20
102,Ghost,20
103,Mammoth WVH,20
104,White Reaper,20
106,Lovejoy,20
107,Sir Chloe,20
254,Grateful Dead,20
252,Rush,20
111,Pierce The Veil,20
239,Lane 8,20
139,Phoenix,20
89,Beauty School Dropout,20
174,The La's,20
206,DEVO,20
166,Big Star,20
167,Van Morrison,20
168,Air,20
205,Weezer,20
170,Willie Nelson,20
203,Yeah Yeah Yeahs,20
202,Cheap Trick,20
200,Michael Jackson,20
163,Buddy Holly,20
176,M.I.A.,20
177,The Who,20
197,The Temptations,20
195,New Order,20
180,Nirvana,20
192,The Jam,20
182,Prince,20
191,The Wailers,20
164,Duran Duran,20
212,The Velvet Underground,20
140,Feid,20
150,M83,20
238,bailey,20
236,Thunder,20
144,CAKE,20
145,The The,20
234,Luca,20
147,Beck,20
233,Last Sun,20
227,Aretha Franklin,20
151,Underworld,20
214,The Animals,20
152,Ministry,20
153,The New Pornographers,20
226,James,20
155,Death Cab for Cutie,20
157,"Crosby, Stills & Nash",20
158,The Beach Boys,20
222,Ben Harper,20
221,Interpol,20
90,grandson,20
93,Highly Suspect,20
45,Tina Turner,20
317,The Hollies,20
27,Bee Gees,20
323,Lil Wayne,20
30,Berlin,20
31,Whitney,20
32,Bruce Springsteen,20
