,Song_Name,Song_Id
0,Beggin',3Wrjm47oTz2sjIgck11l5e
1,I WANNA BE YOUR SLAVE,4pt5fDVTg5GhEvEtlz9dKk
2,ZITTI E BUONI,776AftMmFFAWUIEAb3lHhw
3,CORALINE,7HMz8o0m7ASQ3ImFPfhWTY
4,STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20
5,NOT SOBER (feat. Polo G & Stunna Gambino), 
6,WITHOUT YOU,27OeeYzk6klgBh83TSvGMA
7,WITHOUT YOU (with Miley Cyrus),1EHUQesfVKwbthtNcpBi9g
8,SO DONE,5psEZhQu6lukjhavJo4AbC
9,GO (feat. Juice WRLD),2rPHUAeUPbNgTmK18FPTiZ
10,ALWAYS DO,3QCU8BT0zDS9LPVfEhRFEE
11,TRAGIC (feat. Youngboy Never Broke Again & Internet Money),13EW51DKru044OJDJ9Bm8o
12,TELL ME WHY,3jlxX3VXPiY3lvBBbppQD3
13,good 4 u,4ZtFanR9U6ndgddUvNcjcG
14,traitor,5CZ40GBx1sQ9agT82CLQCT
15,deja vu,6HU7h9RYOaPRFeh0R3UeAr
16,drivers license,5wANPM4fQCJwkGd4rN57mH
17,happier,2tGvwE8GcFKwNdAXMnlbfl
18,favorite crime,5JCoSi02qi3jJeHdZXMmR8
19,"jealousy, jealousy",0MMyJUC3WNnFS1lit5pTjk
20,brutal,6SRsiMl7w1USE4mFqrOhHC
21,enough for you,2TOzTqQXNmR2zDJXihjZ2e
22,"1 step forward, 3 steps back",4wcBRRpIfesgcyUtis7PEg
23,hope ur ok,1zejeOnykpCoyVSit6Bwp3
24,"All I Want - From ""High School Musical: The Musical: The Series""",4Yxc55NX3tAXC2mHRAhtcW
25,Bad Habits,6PQ88X9TkUIAUIZJHW2upE
26,Shape of You,7qiZfU4dY1lWllzX7mPBI3
27,Perfect,0tgVpDi06FyKpA1z0VMD4v
28,Afterglow,5dA45onYgYACRp8C5xEOS9
29,Photograph,1HNkqx9Ahdgi1Ixy2xkKkL
30,I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns
31,Thinking out Loud,34gCuhDGsG4bRPIf9bb02f
32,Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97
33,South of the Border (feat. Camila Cabello & Cardi B),4vUmTMuQqjdnvlZmAH61Qk
34,INDUSTRY BABY (feat. Jack Harlow),27NovPIUIRrOZoCHxABJwK
35,MONTERO (Call Me By Your Name),67BtfxlNbhBmCDR2L2l8qd
36,SUN GOES DOWN,34eF4BoV8FPk0uhAAoqU7h
37,HOLIDAY,6zFMeegAMYQo0mt8rXtrli
38,Panini,1000nHvUdawXuUHgBod4Wv
39,Old Town Road,2YpeDb67231RjR0MgVLzsG
40,Kiss Me More (feat. SZA),748mdHapucXQri7IAO8yFK
41,Need To Know,3Vi5XqYrmQgOYBajMWSvCi
42,Ain't Shit,5lAnYvAIkSDNXqfo7DyFUm
43,Woman,6Uj1ctrBOjOas8xZXGqKk4
44,Streets,60ynsPSSKe6O3sfwRnIBRf
45,I Don't Do Drugs (feat. Ariana Grande),0FFsgUoFibYISzMxuGS61W
46,Get Into It (Yuh),0W6I02J9xcqK8MtSeosEXb
47,Naked,0CsR9Y9SnC6ZWmekmVqSHz
48,Payday (feat. Young Thug),2HolBGR6tpiWI80MXoV1dJ
49,Been Like This,7y3xU9vEC1s8DSuuoSYKih
50,Say So,3Dv1eDb0MEgF93GpLXlucZ
51,Boss Bitch,78qd8dvwea0Gosb6Fe6j3k
52,Freak,3aA6xB0tOilDDX17fIJ0Bl
53,Like That (feat. Gucci Mane),4EivmOT13NMpNSfTKn9p4s
54,Say So (feat. Nicki Minaj),11VApNQCWLJdzxWrlmwzUa
55,Candy,1VJwtWR6z7SpZRwipI12be
56,Todo De Ti,4fSIb4hdOQ151TILNsSEaF
57,Cúrame,3PwRuzdphgedcWVUOVYJ7I
58,Sexo Virtual,0giiXonRhODYy4J1iy4Lb3
59,Tattoo - Remix with Camilo,4ZRrLHqzhGRXYj2qcB4s5S
60,Enchule,3ThrfRAmijYU098H9q9tAs
61,Tattoo,4ZRrLHqzhGRXYj2qcB4s5S
62,Yonaguni,2JPLbjOn0wPCngEot2STUS
63,De Museo,267NGliXM8YLVZiKAD9Otm
64,TE MUDASTE,5RubKOuDoPn5Kj5TLVxSxY
65,BOOKER T,26w9NTiE9NGjW1ZvIOd1So
66,HACIENDO QUE ME AMAS,26QApq0cuO9brJigr0C0W4
67,YO VISTO ASÍ,5fROvzNghPid8mbKNDYvpJ
68,TE DESEO LO MEJOR,23XjN1s3DZC8Q9ZwuorYY4
69,LA DROGA,67ACYA3UI6QMNtHX6b34wX
70,HOY COBRÉ,0tjZv2hChdHZCW1zFXpy1J
71,MALDITA POBREZA,0Lsis3LB0XAK6XlTHXaJk2
72,EL MUNDO ES MÍO,36DHxTW2xdr9GG15T9oK9L
73,ANTES QUE SE ACABE,7kjEqI6eZ7YlFrGhxixnlN
74,120,3KJ3opyV29269SXkPrc19l
75,TRELLAS,09WAnxdBuebQopKhJT3oZS
76,Yo Perreo Sola,0SqqAgdovOE24BzxIClpjw
77,La Difícil,6NfrH0ANGmgBXyxgV2PeXt
78,Si Veo a Tu Mamá,41wtwzCZkXwpnakmwJ239F
79,BYE ME FUI,0FktnzDqjClqU6iqOZVEs2
80,Vete,5DxXgozhkPLgrbKFY91w0c
81,BENDICIONES,2CoMYp2uIKsT09nreEZnZn
82,SI ELLA SALE,1zaDh3qaGSeSmulNyWlUxm
83,RONCA FREESTYLE,3XZeOzJ9tqnu58YP6cqApI
84,A Tu Merced,4r9jkMEnArtWGH2rL2FZl0
85,Pero Ya No,75pQqzwgCjUOSSy5CpmAjy
86,25/8,4NqQaovM14WR2hNPMFxgjb
87,Soliá,7sOfmPd18RWp3FoCzpa7Kw
88,La Zona,5kqNIqFjijuzvVLhuY9B8j
89,<3,4MZSqgwlE71CWZ6qQ3gkKm
90,Levitating (feat. DaBaby),463CkQjx2Zk1yXoBuierM9
91,Don't Start Now,7njGslFmqBmOSSOpTyZCs9
92,Love Again,2sN1pMv6d2t5GlvN6IBMlK
93,Levitating,463CkQjx2Zk1yXoBuierM9
94,We're Good,1diS6nkxMQc3wwC4G1j0bh
95,Break My Heart,017PF4Q3l4DBUiWoXk4OWT
96,Physical,3AzjcOeAmA57TIOr9zF1ZW
97,Levitating (feat. Madonna and Missy Elliott) [The Blessed Madonna Remix],0pk1hxhJLBSZZ5RKBhcwOa
98,Hallucinate,1nYeVF5vIBxMxfPoL0SIWg
99,Pretty Please,6DXZiYUbrYgrVIhfX3U9Z2
100,Cool,4Ulqu89XempybuL8ApUeqL
101,Future Nostalgia,3iYNJX4FTRGlfMQySjlGNr
102,Good In Bed,3pyodt4pb554dMz8fCv7oi
103,Boys Will Be Boys,4szI7zRh7kLApCSqiB6R7b
104,New Rules,2ekn2ttSfGqwhhate0LSR0
105,Permission to Dance,0LThjFY2iTtNdd4wviwVV2
106,Butter,2bgTY4UwhfBYhGT4HUYStN
107,Dynamite,4saklk6nie3yiGePpBwUoc
108,Life Goes On,249gnXrbfmV8NG6jTEMSwD
109,Boy With Luv (feat. Halsey),5KawlOMHjWeUjQtnuRs22c
110,Butter (Instrumental),2Ol2sv6gePRdJrZC1hDVNY
111,Film out,3UHPGOkUcE4hE7sqBF4Snt
112,Blue & Grey,0n2moJpAEWHwaPYYjkzMDl
113,Fly To My Room,3QH8rQGNFX8VLbCgZ7uPTS
114,Telepathy,2FVpOsjT1iquZ3SpCjZ9Ne
115,Dis-ease,54DmTIv86D3sYdiawjULQ0
116,Stay,3ndCsZfq8OVwwkz9mmZvUz
117,Skit,4GVwjLRT7oSsKby7Vy8EHr
118,ON,2QyuXBcV1LJ2rq01KhreMF
119,Stay Gold,3Ys2PYl1wyPKQIwyqhP9cQ
120,Black Swan,3bkkMZEAhx7rTVz1C0itRQ
121,ON (Feat. Sia),3IB5qOeMayvpOdHxYCL5tZ
122,Filter,0ono6UCNVZ1XqOm6j78Blu
123,My Time,4vTgx6h4seHvkuFh84JXYP
124,Louder than bombs,3op7HNwLli54MBjFGzIlZO
125,UGH!,1aKuG1GG76xPLUkjBbQo3W
126,00:00 (Zero O’Clock),4AlihYDqxXshKhvh5tnMfP
127,Friends,7w05lsU2VLSeiT8Nukrv5M
128,We are Bulletproof : the Eternal,44WLOqH7QayQOQdeUHeKUK
129,Inner Child,4BKOjYosPhw334moS3wlbO
130,Moon,1xfXXujIlLZAx5wpu46Nyk
131,Outro : Ego,3r9FFjLrAIQjoR8pSHVPC9
132,Interlude : Shadow,2Nib4r0saYQf2pUV4RFDhl
133,Respect,37TSJmYKLxXmx8OehFpqMN
134,Peaches (feat. Daniel Caesar & Giveon),4iJyoBOLtHqaGxP12qzhQI
135,Hold On,49xx65gvlD7xXjDTavFqaJ
136,Anyone,2RwMwWo43LapkA4raptxaB
137,Holy (feat. Chance The Rapper),5u1n1kITHCxxp8twBcZxWy
138,Lonely (with benny blanco),4y4spB9m0Q6026KfkAvy9Q
139,As I Am (feat. Khalid),6F2r4HgpJnvKDmkN6JEN6J
140,Unstable (feat. The Kid LAROI),137mSruegm1u6x9NvwiagR
141,Ghost,6I3mqTwhRpn34SLVafSH7G
142,Off My Face,3T03rPwlL8NVk1yIaxeD8U
143,Deserve You,5NU40QTlXrDUJzDBdv79bg
144,2 Much,0oaY19dUwZimIgzn3ZZLZO
145,Loved By You (feat. Burna Boy),2tB9OFgAHjAds3cqquLlvp
146,Die For You (feat. Dominic Fike),7aely3H8kMj9o0gt6vXHE1
147,Love You Different (feat. BEAM),27UcQ6dAvQrgH9C880rCM3
148,Somebody,3rLIv187BhjyweFe89SgLn
149,Intentions (feat. Quavo),4umIPjkehX1r7uhmGvXiSV
150,Mistletoe,7xapw9Oy21WpfEcib2ErSA
151,Yummy,41L3O37CECZt3N7ziG2z7l
152,Forever (feat. Post Malone & Clever),2ZlCGeK30BLRNSPC832pNZ
153,Come Around Me,2o9LAypwGH4ctV0i9boo6d
154,Habitual,40qyPyljksBEqlNw5sW37T
155,All Around Me,5Py8zRKGkZvgHniVVtvNCN
156,Get Me (feat. Kehlani),5VwwpU7KsLhgfbMEecedhJ
157,Second Emotion (feat. Travis Scott),1PnAx788sAvcI3ZxTlEyX8
158,Running Over (feat. Lil Dicky),75nKBP8jQu681pTNCtrEnn
159,Available,1b6tPXXCV2fSNtR3SKWUQA
160,Changes,521Os1SMlxmsoevsqyjNmJ
161,Confirmation,60brXKLTC15vK0av5gIldm
162,E.T.A.,6PzOPrXx8tJEqace76yrv2
163,Take It Out On Me,39nTNk5MfyiiRupTwn1iyC
164,That's What Love Is,2hLu8L8SNfCN4yKyPdX0h3
165,At Least For Now,6VLkgf5YmLixsabdqiCVGU
166,Save Your Tears (with Ariana Grande) (Remix),37BZB0z9T8Xu7U3e65qxFy
167,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b
168,Save Your Tears,37BZB0z9T8Xu7U3e65qxFy
169,The Hills,7fBv7CLKzipRk6EC6TWHOB
170,In Your Eyes,7szuecWAPwGoV1e5vGu8tl
171,Earned It (Fifty Shades Of Grey),4frLb7nWtsz2ymBE6k2GRP
172,Can't Feel My Face,22VdIZQfgXJea34mQxlt81
173,Call Out My Name,09mEdoA6zrmBPgTEN5qXmN
174,Heartless,6bnF93Rx87YqUBLSgjiMU8
175,Blinding Lights (with ROSALÍA) - Remix,7MXgrcOQAJ5VwSNUL0lDd3
176,In Your Eyes (with Doja Cat) - Remix,0UnTaVkntyh3vqvLEvbpQx
177,After Hours,2p8IUWQDrpjuFltbdgLOag
178,Hardest To Love,6kWxIqQDsKFYCJGbU4AjCX
179,Scared To Live,4BGZF4oLbTL0pWm7C18pbv
180,Alone Again,6b5P51m8xx2XA6U7sdNZ5E
181,Too Late,2K9Ovn1o2bTGqbsABGC6m3
182,Faith,3orEOtd8CPL8GFlpRpKuoE
183,Snowchild,3WlbeuhfRSqU7ylK2Ui5U7
184,Escape From LA,1sOW4PuG5X3Ie3EXUhAopJ
185,Repeat After Me (Interlude),40U8d12pC5UHqmHwXjHjjl
186,Until I Bleed Out,2BcnxwxBuar5wjCaLqm5N3
187,Heat Waves,3USxtqRwSYz57Ewm6wWRMp
188,Pepas,5fwSHlTEWpluwOM0Sxnh5k
189,La Tóxica,15OjBeqNX3bShsGYQbteRv
190,Motley Crew,40uMIn2zJLAQhNXghRjBed
